Question,Answer
<p>SPG</p>,<p>Sicherheitspolizeigesetz</p>
<p>Wie unterteilt die Verfassung unter objektivem Recht gewährleistete Rechte?</p>,<p>Nach Adressatenkreis in Staatsbürgerrechte und Menschenrechte</p>
<p>Drittwirkung der Grundrechte</p>,"<ul><li>Durch Trennung von Staat und Gesellschaft gibt es <strong>keine Drittwirkung</strong></li><li>Grundrechte gelten nur gegen den Staat, nicht Mensch gegen Mensch</li><li>Ausnahmen:</li><li class=""ql-indent-1"">gesetzlich angeordnete Drittwirkungen (z.B.: Datenschutzgesetz)</li><li class=""ql-indent-1"">Grundrechte mit staatlicher Schutzpflicht (Recht auf Leben)</li><li class=""ql-indent-1"">Mittelbare Drittwirkung im Zivilrecht (Auslegung, Sittenklauseln)</li></ul>"
<p>Wo werden über Verstöße gegen Grundrechte entschieden?</p>,<p>OGH</p>
<p>Wo werden in der Regel über Verstöße gegen subjektives Recht entschieden?</p>,<p>im VfGH</p>
<p>Wie wird der Schutzbereich eines Grundrechts festgelegt?</p>,"<p>Die Verfassung die ein Grundrecht normiert, legt den Schutzbereich mit dem Wortlaut des Verfassungstextes fest. Diese Begriffe sind allerdings auslegungsbedürftig (z.&nbsp;B.: Eigentumsfreiheit hat den Schutzbereich ""Eigentum"")</p>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Grundrechtsquellen: Einzelne Grundrechte in Staatsverträgen</span></p>",<ul><li>Rechte der Minderheiten</li><li>Religionsfreiheit</li></ul>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Grundrechtsquellen: Grundrechte in einfachen Gesetzen</span></p>",<ul><li>Recht auf Zivildienst</li><li>Recht auf Datenschutz</li></ul>
<p>Grundrechtsquellen: Grundrechte im B-VG</p>,<ul><li>Gleichheitssatz</li><li>Gesetzlicher Richter</li><li>Recht der Richter auf Unabhängigkeit</li><li>Recht der Gemeinden auf Selbstverwaltung</li></ul>
<p>Grundrechtsquellen</p>,<p>Quellen:</p><ul><li>Grundrechtskataloge</li><li>Grundrechtsgesetze</li><li>Grundrechte im B-VG</li><li>Grundrechte in einfachen Gesetzen</li><li>Einzelne Grundrechte in Staatsverträgen</li></ul>
<p>Grundrechtsquellen: Grundrechtsgesetze</p><p><br></p>,<ul><li>Hausrechts Gesetz </li><li>Beschluss der provisorischen Nationalversammlung über die Aufhebung der Zensur 1918</li><li>PersFrG (Bundesverfassungsgesetz zum Schutz der persönlichen Freiheit)</li></ul>
<p>Grundrechtsquellen: Grundrechtskataloge</p><p><br></p>,<ul><li>StGG 1867</li><li>EMRK + ZP</li><li>BVG Kinderrechte</li><li>EU Grundrechtecharta</li></ul><p><br></p>
<p>Schutz gegen Gesetzgebung und Vollziehung</p>,"<ul><li>Grundrechte schützen gegen Staat und Staatsgewalt</li><li>Schützen auch gegen den Gesetzgeber</li><li class=""ql-indent-1"">Gegen einfachen Bundesgesetzgeber</li><li class=""ql-indent-1"">Gegen Landesverfassungsgesetzgeber</li><li class=""ql-indent-1"">Gegen einfachen Landesgesetzgeber</li><li class=""ql-indent-1"">Gegen die staatl. Vollziehung (Verwaltung und Gerichtsbarkeit)</li><li><strong>Aber: </strong>Bundesverfassungsgesetze können Grundrechte einschränken. (z.&nbsp;B.: Wehrpflicht für Männer widerspricht dem Gleichheitssatz, ist aber durch B-VG diskriminierend festgelegt) </li></ul>"
<p>Objektives Recht</p>,<p>Mensch hat keinen durchsetzbaren Anspruch auf Einhaltung der Gesetze</p>
<p>Subjektives Recht</p>,"<ul><li>Grundrechte sind gegen den Staat durchsetzbare Individualrechte</li><li>Mensch hat Anspruch auf Einhaltung der Gesetze (Verwaltung, Gerichtsbarkeit, Gesetzgebung verfolgen Verletzung der Grundrechte)</li></ul>"
<p>Grundrechte</p>,<p>Alle den Menschen durch formelle Verfassungsgesetze gewährleistete Recht</p>
<p>Geschichte der Grund- und Freiheitsrechte</p>,<p><strong>1789</strong>: Deklaration der Menschen- und Bürgerrechte</p><p><strong>1867</strong>: Staatsgrundgesetz (Dezemberverfassung) </p><p><strong>1948</strong>: Allgemeine Erklärung der Menschenrechte</p><p><strong>1950</strong>: Europäische Menschenrechtskonvention</p><p><br></p>
<p>Wachkörper</p>,"<ul><li>Bewaffnete Formationen (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel78d"" rel=""noopener noreferrer"" target=""_blank"">Art. 78d Abs. 1 B-VG</a>)</li><li class=""ql-indent-1"">Bundespolizei: <strong>Bund</strong></li><li class=""ql-indent-1"">Justizwache: <strong>Bund</strong></li><li class=""ql-indent-1"">Gemeindewachkörper: <strong>Gemeinde</strong></li><li>Organisation und Führung der Bundespolizei und die Org. sonstiger Wachkörper (Ausnahme: Gemeindewachkörper) ist Bundessache</li></ul>"
<p>Sicherheitsbehörden des Bundes</p>,"<ul><li><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel78a"" rel=""noopener noreferrer"" target=""_blank"">Art. 78a-c B-VG</a> richten die Sicherheitsbehörden ein</li><li><a href=""https://www.jusline.at/gesetz/spg/paragraf/2"" rel=""noopener noreferrer"" target=""_blank"">§&nbsp;2 Abs. 2 SPG</a> definiert Aufgaben der Sicherheitsverwaltung</li><li>2/3 Ebenen:</li><li class=""ql-indent-1""><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">BM für Inneres</span></li><li class=""ql-indent-1"">Landespolizeidirektion </li><li class=""ql-indent-1"">Bezirksverwaltungsbehörde</li><li>Mischform aus mittelbarer und unmittelbarer Bundesverwaltung, weil auf unterer Ebene teilweise Bezirksverwaltungsbehörden als Landesbehörden eingebunden sind</li><li>Bundesheer: militärische Formation des Bundes, zählt zur unmittelbaren Bundesverwaltung</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Sicherheitsbehörden: </span>Bezirksverwaltungsbehörde</p><p><br></p>",<ul><li>Bezirkshauptmannschaft/Bürgermeister besorgt prinzipiell Sicherheitsverwaltung auf Bundesebene</li><li>Als Verwaltungsbehörde aber nicht auf Sicherheitsaufgaben spezialisiert.</li></ul>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Sicherheitsbehörden: Landespolizeidirektion</span></p>","<p>(<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel78b"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgba(0, 0, 0, 0);"">Art. 78b Abs. 1 B-VG</a>) für jedes Bundesland:</p><ul><li>Landespolizeidirektor weisungsgebunden an BM</li><li class=""ql-indent-1"">BM muss jede wichtige Weisung an den LH mitteilen</li><li class=""ql-indent-1"">BM kann Landespolizeidirektor nur mit Einvernehmen des LH bestellen</li><li><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel78c"" rel=""noopener noreferrer"" target=""_blank"">Art. 78c B-VG</a> ermächtigt einfachen Bundesgesetzgeber die Landespolizeidirektion zur Sicherheitsbehörde 1. Instanz zu bestimmen, <a href=""https://www.jusline.at/gesetz/spg/paragraf/8"" rel=""noopener noreferrer"" target=""_blank"">§&nbsp;8 SPG</a> legt dafür einige Gebiete fest.</li></ul><p><br></p>"
<p>Sicherheitsbehörden: BM für Inneres</p>,"<p>(<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel78a"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgba(0, 0, 0, 0); color: rgb(105, 122, 180);"">Art. 78a Abs. 1 B-VG</a>): Generaldirektion für öffentliche Sicherheit sorgt für Sicherheitsverwaltung</p>"
<p>Abgabebehörden</p>,"<ul><li>Auftragsverwaltung des Bundes: für nicht-hoheitliche Verwaltung ist theoretisch nur der BM zuständig (z.&nbsp;B.: Bundesvermögen, Geschäfte des Bundes)</li><li>BM kann einzelne Geschäfte durch hoheitlichen Auftrag dem LH übertragen (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel104"" rel=""noopener noreferrer"" target=""_blank"">Art. 104 Abs. 2</a>) </li></ul>"
<p>Unmittelbare Bundesverwaltung</p>,"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">(</span><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel102"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgb(40, 45, 88); color: rgb(105, 122, 180);"">Art. 102 Abs. 2 B-VG</a><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">)</span></p><ul><li>Ausnahme</li><li>Bund erledigt Aufgaben durch eigene Bundesbehörden</li><li>Bund darf dennoch mittelbare Bundesverwaltung nutzen </li><li>Mit Zustimmung der Länder, darf Bund auch Materien regeln, die nicht in Art. 102 Abs. 2 stehen (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel102"" rel=""noopener noreferrer"" target=""_blank"">Art. 102 Abs. 4 B-VG</a>)</li></ul>"
<p>Mittelbare Bundesverwaltung</p>,"<p>(<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel102"" rel=""noopener noreferrer"" target=""_blank"">Art. 102 Abs. 1 B-VG</a>)</p><ul><li>Das oberste Organ ist ein BM (oder der BK), als funktionelles und organisatorisches Organ des Bundes</li><li>Das mittlere Organ ist der Landeshauptmann (als Einzelorgan). </li><li class=""ql-indent-1"">Organisatorisch ein Landesorgan, funktionell aber im Auftrag des Bundes</li><li class=""ql-indent-1"">An Weisungen des BM gebunden</li><li class=""ql-indent-1"">Amt: Amt der Landesregierung</li><li>Das untere Organ ist die Bezirksverwaltungsbehörde</li><li class=""ql-indent-1"">Organwalter (Bezirkshauptmann/Bürgermeister) an Weisung des LH gebunden (In Bundesverwaltung, sonst an Landesregierung)</li><li class=""ql-indent-1"">Amt: Bezirkshauptmannschaft/Magistrat</li><li>Unterste Organe: Gemeindeorgane</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Staatssekretäre </span></p>","<ul><li><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Werden zwar in Art. 19 B-VG als oberste Organe der Verwaltung genannt, sind jedoch BM unterstellt und weisungsgebunden (</span><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel78"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Art. 78 Abs. 3 B-VG</a><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">)</span></li><li><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Aufgabe ist Unterstützung und Vertretung des BM, sie sind nicht Teil der Bundesregierung</span></li></ul>"
<p>Ämter der Bundesregierung</p>,<ul><li>Bundeskanzleramt für BK</li><li>Bundesministerien für die BM</li></ul>
"<p>Bundesregierung: <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">BK, VK und BMs als Einzelorgane</span></p>","<ul><li>Oberste Organe der Verwaltung (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel19"" rel=""noopener noreferrer"" target=""_blank"">Art. 19 B-VG</a>)</li><li>BM für Finanzen und für Inneres sind in der Verfassung, andere werden durch Bundesministeriengesetz 1986 bestimmt</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesregierung </span>als Kollegialorgan</p>","<ul><li>= Ministerrat</li><li>Beschlüsse müssen einstimmig sein</li><li>Aufgabe sind Regierungsakte wie</li><li class=""ql-indent-1"">Vorschläge an BP (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel67"" rel=""noopener noreferrer"" target=""_blank"">Art. 67 Abs. 1 B-VG</a>)</li><li class=""ql-indent-1"">Gesetzesvorlagen an das Parlament (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel41"" rel=""noopener noreferrer"" target=""_blank"">Art. 41 Abs. 1 B-VG</a>)</li><li class=""ql-indent-1"">Vorschläge für Ernennung von Verfassungsrichtern (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel147"" rel=""noopener noreferrer"" target=""_blank"">Art. 147 Abs. 2 B-VG</a>)</li></ul>"
<p>Zusammensetzung der Bundesregierung</p>,"<ul><li>Besteht aus BK, Vizekanzler und Bundesministern (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel19"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgba(0, 0, 0, 0); color: rgb(105, 122, 180);"">Art. 19 Abs. 1 B-VG</a>,<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel69"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgba(0, 0, 0, 0); color: rgb(105, 122, 180);""> Art. 69 Abs. 1 B-VG</a>)</li></ul><p><br></p>"
<p>Landesverwaltung unterhalb der Regierung</p>,"<ul><li>Landesverwaltung in Verwaltungssprengel territorial gegliedert</li><li>Land in Bezirke gegliedert, 2 Arten</li><li class=""ql-indent-1""><strong>Bezirk</strong>, der mehrere Gemeinden erfasst</li><li class=""ql-indent-1""><strong>Statutarstadt</strong>, die alleine ein Bezirk ist</li><li>Bezirksverwaltungsbehörden</li><li class=""ql-indent-1"">Bezirkshauptmann (monokratisch), Amt: Bezirkshauptmannschaft</li><li class=""ql-indent-1"">Bürgermeister, Amt: Magistrat</li></ul>"
"<p>Landesverwaltung: Landesregierung (Zuständigkeit, Zusammensetzung, Entscheidungsfindung, Wahl, Regierungsart, Amt)</p>","<ul><li>Oberstes Organ der Landesverwaltung, zuständig für hoheitliche (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel11"" rel=""noopener noreferrer"" target=""_blank"">Art. 11-15 B-VG</a>) und nicht hoheitliche (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel17"" rel=""noopener noreferrer"" target=""_blank"">Art. 17 B-VG</a>) Verwaltung</li><li>Besteht aus Landeshauptmann und weiteren Landesräten  (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel101"" rel=""noopener noreferrer"" target=""_blank"">Art. 101 B-VG</a>)</li><li>Entscheidet als Kollegialorgan, Landesräte können teilweise auch als Einzelorgane tätig werden (Ämter der Landesregierungen)</li><li>Parlamentarisches System: Landtag wählt Regierung</li><li>Meist Mehrheitsregierung, außer in OÖ, NÖ und W ? Proporzregierung=Konzentrationsregierung</li><li>Amt der Landesregierung: Hilfsapparat der Regierung <strong><em>und </em></strong>des Landeshauptmanns.</li></ul>"
<p>Sicherheitsverwaltung</p>,"<p>Sicherheitsbehörden des Bundes (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel78a"" rel=""noopener noreferrer"" target=""_blank"">Art. 78a-c B-VG</a>)</p>"
<p>Ortspolizei</p>,"<ul><li>Örtliche Verwaltungspolizei und örtliche Sicherheitspolizei gemeinsam</li><li>bei gesetzlicher Lücke zur Beseitigung konkreter Gefahren und Missstände, wenn diese das ""örtliche Gemeinschaftsleben"" stören </li><li>Gemeinde darf gesetzesergänzende Verordnungen erlassen (ortspolizeiliche Verordnungen <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel118"" rel=""noopener noreferrer"" target=""_blank"">Art. 118 Abs. 6 B-VG</a>)</li></ul>"
<p>Örtliche Sicherheitspolizei</p>,<p>Aus dem Kompetenztatbestand ausgenommen ? Aufteilung in überörtliche und örtliche Sicherheitspolizei</p>
<p>Sicherheitspolizei</p>,"<p><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel10"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgb(40, 45, 88);"">Art. 10 Abs. 1 Z. 7 B-VG</a> Aufrechterhaltung der öffentlichen Ruhe, Ordnung und Sicherheit (soweit keiner konkreten Sachmaterie zugewiesen)</p>"
<p>Örtliche Verwaltungspolizei</p>,"<ul><li>Alle in <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel10"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgb(40, 45, 88);"">Art. 10-15 B-VG</a> enthaltenen Angelegenheiten der Verwaltungspolizei, die im <em>örtlichen Interesse</em> gelegen sind, fallen in den Wirkungsbereich der Gemeinden</li></ul>"
<p>Verwaltungspolizei</p>,"<ul><li>Staatliches Handeln zur Abwehr und Beseitigung konkreter Gefahren und Missstände</li><li>Annexmaterie zu den Kompetenzen in <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel10"" rel=""noopener noreferrer"" target=""_blank"">Art. 10-15 B-VG</a></li></ul>"
<p>Allgemeine staatliche Verwaltung (Aufstellung in Bund und Ländern)</p>,"<ul><li>Allzuständigkeit der Staatsgewalt, erledigt von allgemeinen staatlichen Verwaltungsorganen</li><li>der Länder: </li><li class=""ql-indent-1"">Bezirksverwaltungsbehörden (1. Instanz) </li><li class=""ql-indent-1"">Landesregierungen (2. Instanz)</li><li>der Bund:</li><li class=""ql-indent-1"">Bezirksverwaltungsbehörden (1. Instanz)</li><li class=""ql-indent-1"">Landeshauptmann (2. Instanz)</li><li class=""ql-indent-1"">Bundesminister (3. Instanz) </li></ul>"
<p>Weisungsfreie Vollziehung</p>,"<ul><li>Unabhängige <strong>Richter </strong>(Art. 87 Abs. 1 B-VG)</li><li>weisungsfreier Teil der <strong>Justizverwaltung </strong>(Art. 87 Abs. 2 B-VG): Richtersenate und Kommissionen</li><li><strong>Gemeindeselbstverwaltung</strong>: Gemeinderat und Bürgermeister.</li><li class=""ql-indent-1"">Weisungsfrei, unterliegen nur Aufsicht der Bundes/Landesbehörden.</li><li>Einfacher Bundes/Landesgesetzgeber kann weitere Verwaltungsorgane bei Rechtfertigung weisungsfrei stellen (Art. 20 Abs. 2 B-VG)</li></ul>"
<p>Organ</p>,"<p>Abstrakt, dem Organ sind <strong>Organzuständigkeiten </strong>zugeordnet, diese sind teil der Zuständigkeit der <strong>Organisation</strong></p>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Verwaltungshandeln: </span>Privatrechtliches Handeln </p>",<p>Gebietskörperschaften können als juristische Personen auch privatrechtlich handeln -&gt; Fiskalverwaltung</p>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Verwaltungshandeln: </span>Schlicht-hoheitliches Handeln</p>","<p>Hoheitliches Handeln, dass nicht auf dem Erlass von Rechtsnormen beruht.</p><ul><li>Polizeistreife</li><li>Verkehrskontrolle</li><li>Urkundenausstellung</li><li>Auskunft durch Behörde</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Verwaltungshandeln: </span>Maßnahme</p>","<ul><li>Ausübung unmittelbarer verwaltungsbehördlicher Befehls- und Zwangsgewalt</li><li class=""ql-indent-1"">individueller Akt direkt auf gesetzlicher Grundlage z.B.: Festnahme</li><li>Wird wie Rechtsnorm mit Zwang durchgesetzt.</li><li>Anfechtung ungerechter Behandlung nicht möglich (anders als bei individueller Rechtsnorm = Bescheid) ? Rechtsschutzlücke ? Maßnahmebeschwerde vor Verwaltungsgericht (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel130"" rel=""noopener noreferrer"" target=""_blank"">Art. 130 Abs. 1 Z. 1 B-VG</a>, <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel132"" rel=""noopener noreferrer"" target=""_blank"">Art. 132 Abs. 2 B-VG</a>)</li></ul>"
<p>Verwaltungsverordnung</p>,"<ul><li>Wirkt nach innen, regelt die interne Verwaltungsorganisation</li><li>muss nicht kundgemacht werden (Abgrenzung zur Weisung schweirig)</li></ul>"
<p>Rechtsverordnung</p>,<ul><li>Wirkt nach außen</li><li>Legt Rechte und Pflichten für Bürger fest</li></ul>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Ortspolizeiliche Verordnung</span></p>","<ul><li>Von Gemeinden erlassen <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">(Art. 118 Abs. 6)</span></li><li class=""ql-indent-1""><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">im eigenen Wirkungsbereich</span></li><li class=""ql-indent-1"">nur zur Abwehr drohender oder bestehender Missstände</li><li class=""ql-indent-1"">dürfen nicht gegen Bundes- oder Landesrecht verstoßen</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Selbständige Verordnung</span></p>","<ul><li>Ergehen unmittelbar aus Bundesverfassung (ohne weitere Gesetze)</li><li>Gesetzesergänzend, gesetzesvertretend oder gesetzesändernd.</li></ul><p><br></p>"
"<p><span style=""background-color: rgba(0, 0, 0, 0); color: rgb(226, 148, 20);"">Durchführungsverordnung </span></p><p><br></p>","<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Präzisiert ein Gesetz (Art. 18 Abs. 2 B-VG)</span></p>"
<p>Arten von Verordnungen</p>,"<ul><li><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Durchführungsverordnung </span></li><li><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Selbständige Verordnung</span></li><li>Ortspolizeiliche Verordnung</li><li>Rechtsverordnung</li><li>Verwaltungsverordnung</li></ul>"
